prod_code_First,currency_First,pol_num_Count,pre_ann_Sum,sum_assd_Sum
CASFM_,IDR,873,10185152000,21825000000
CASFM_,IDR,188,2139167000,4700000000
CASFM_,IDR,805,8705971000,20125000000
CASFM_,IDR,100,984599000,2500000000
CASFM_,IDR,162,1718834000,4050000000
CALFM_,IDR,4238,55278971000,105950000000
CALFM_,IDR,269,3449332000,6725000000
CALFM_,IDR,1545,18016820000,38625000000
CALFM_,IDR,3569,41436629000,89225000000
CALFM_,IDR,1605,17717653000,40125000000
CALFM_,IDR,331,3786976000,8275000000
CASFM_,IDR,84,874140000,2100000000
CSHCPP,IDR,2966,33605970000,0
CSHCPP,IDR,1050,11777756100,0
CSHCPP,IDR,2485,27598834600,0
CSHCPP,IDR,32,332403600,0
CSHCPP,IDR,659,7945401000.12,0
CSHCPP,IDR,407,5017923800,0
CSHCPP,IDR,199,1967872050,0
CSHCPP,IDR,109,1211578200,0
CSHCPP,IDR,95,1045286100,0
CSHCPP,IDR,14,157421400,0
CSHCPP,IDR,40,552185500,0
CSHCPP,IDR,53,585814200,0
CSHCPP,IDR,12,142737000,0
CSHCPP,IDR,11,133568400,0
CSHCPP,IDR,2,10812000,0
CHEAZH,IDR,11,15390000,618889
CHEAZH,IDR,7,9099000,389435
CHEAZY,IDR,560,2341881600,285400000
CHEAZY,IDR,16,52348800,6000000
CHEAZY,IDR,1067,3739795200,333200000
CHEAZY,IDR,133,618506400,74400000
CHEAZY,IDR,78,273914400,25000000
CHEAZY,IDR,179,809241600,86400000
CHEAZY,IDR,26,97079000,10900000
CHEAZY,IDR,25,86833200,8100000
